TeamId,TeamName,SubmissionDate,Score
7853153,"Andrej Marinchenko","2022-06-29 16:53:02",1.00000
8566226,"S ABHINAYA REDDY","2022-05-02 12:43:09",1.00000
8568689,PlusGne,"2022-05-03 02:52:50",1.00000
8459003,"[Deleted] 9f0a5463-a9cc-42f2-aeb9-f265d851b3b2","2022-05-05 23:05:36",1.00000
8475273,"[Deleted] 0786aa22-0c16-4a46-bdf0-29d07bb970a2","2022-05-08 06:01:22",1.00000
8609376,"[Deleted] 31c55049-ebb5-44a8-aaba-19d9e458c5f3","2022-05-11 16:00:52",1.00000
8587658,TeamRocket,"2022-05-12 04:09:09",1.00000
8523195,"Sharon Sam","2022-05-15 02:08:23",1.00000
8521443,"Nambirajan R S","2022-05-16 11:38:21",1.00000
8564166,R.SUJITH,"2022-05-16 17:40:18",1.00000
8526765,"Kausalya S","2022-05-16 18:11:18",1.00000
8633489,Zyriznr,"2022-05-17 00:37:50",1.00000
8409959,ZAPYATAYA,"2022-05-18 05:00:49",1.00000
8635055,"xx Molly","2022-05-18 04:31:03",1.00000
8549018,"Chenyue Liu","2022-05-18 14:45:58",1.00000
8462185,不会止步于此,"2022-05-23 06:42:19",1.00000
8668196,NUDTDMWF,"2022-05-27 00:08:43",1.00000
8656234,kuanyuwu,"2022-05-24 16:10:35",1.00000
8683995,"💥Tesla, Inc.💥","2022-05-26 18:32:05",1.00000
8695717,"Vanitha DSilva","2022-06-01 03:16:33",1.00000
6987554,yisberh,"2022-06-03 06:42:56",1.00000
8583038,tranquil_morning,"2022-06-04 07:12:03",1.00000
8737490,MHMarkhusJJ,"2022-06-14 13:26:30",1.00000
8736203,Jennnn00,"2022-06-13 14:52:54",1.00000
8560851,Bhavayc,"2022-06-10 11:32:55",1.00000
8753416,chengcc123456,"2022-06-10 12:38:05",1.00000
8753876,"Roman Parkhomenko","2022-06-10 13:46:34",1.00000
8743334,"Emmanuel DJEGOU","2022-06-13 05:09:37",1.00000
