TeamId,TeamName,SubmissionDate,Score
6068702,fedesoriano,"2022-05-19 20:34:41",0.00000
7110709,"YIYANG HAO","2022-06-30 04:04:02",0.00044
8540733,t020195444,"2022-06-02 14:46:23",0.00044
8483504,"Gulshan Savanth Dommu","2022-05-04 13:29:21",0.00044
8428956,CIS5680,"2022-05-04 18:36:08",0.00044
8552269,SuyarguLOVElina,"2022-05-05 02:49:06",0.00044
7733050,"Bhanu Sri Edpuganti","2022-05-05 05:58:55",0.00044
3049047,TangZhiFeng,"2022-05-06 01:43:32",0.00044
8592504,"Santosh Shirol","2022-05-09 03:50:31",0.00044
8601590,Yihua1661,"2022-05-10 06:24:00",0.00044
3279480,sakihama,"2022-05-12 14:39:50",0.00044
8625649,"Alger Wang","2022-05-14 00:56:06",0.00044
8640199,Hoshe,"2022-05-17 09:23:04",0.00044
8637012,"Utsav Savaliya","2022-05-19 06:27:26",0.00044
7382442,"madu sudhan Reddy","2022-05-27 07:04:33",0.00044
8660462,SisuoLYU,"2022-05-24 01:56:42",0.00044
8667232,AndrewBaum,"2022-05-23 18:17:22",0.00044
8511330,FocusV857,"2022-06-06 06:16:21",0.00044
8299576,"Yunjia Quan","2022-05-24 19:16:01",0.00044
8674379,"Fiona #3","2022-05-25 06:05:34",0.00044
8674742,"Aakriti Mehta","2022-05-25 07:18:17",0.00044
8683340,"Servant of the AI","2022-05-26 18:35:15",0.00044
8558182,"💥Tesla, Inc.💥","2022-05-26 20:42:16",0.00044
8693595,"Adarsh Malviya #2","2022-05-29 07:07:53",0.00044
8692565,m11009104,"2022-06-05 17:08:24",0.00044
8702359,k.MITA,"2022-06-01 04:54:51",0.00044
8707458,@XIAO,"2022-06-01 02:38:46",0.00044
8707442,@QIN,"2022-06-01 03:36:07",0.00044
6331271,jhlam21,"2022-06-30 04:17:25",0.00044
8707357,cnamba,"2022-06-02 08:31:22",0.00044
8657496,hackerinheels,"2022-06-04 03:16:03",0.00044
6469737,"Vatsal Savaliya","2022-06-03 06:27:21",0.00044
2229708,"Shadman Rohan","2022-06-03 16:19:14",0.00044
8413157,CherryBlossomRain,"2022-06-29 12:28:25",0.00044
8707415,PARULG1991,"2022-06-08 06:43:24",0.00044
8636384,AU_109237003,"2022-06-12 12:15:28",0.00044
8341179,suikateiou,"2022-06-09 10:52:29",0.00044
8698640,c_title,"2022-06-10 09:22:39",0.00044
8636390,AU_109237004,"2022-06-11 03:33:44",0.00044
8696981,basementall,"2022-06-11 05:15:05",0.00044
8751904,liu2022-6,"2022-06-12 08:23:30",0.00044
8664423,AU_109237001,"2022-06-12 14:53:42",0.00044
8765726,UltraMar1ne_SciTech,"2022-06-13 15:32:28",0.00044
8766968,"k sanketh kumar","2022-06-14 08:16:29",0.00044
8773670,"Yale He","2022-06-15 08:30:29",0.00044
8744700,"The Devastator","2022-06-15 14:06:32",0.00044
1755513,"Xihui Shaw","2022-06-16 16:26:37",0.00044
8785571,guansuo,"2022-06-18 06:34:04",0.00044
8786320,NUDTDMSZH,"2022-06-18 07:02:10",0.00044
8787097,kuanlen,"2022-06-18 12:32:57",0.00044
8788760,200511811dhw,"2022-06-19 04:35:24",0.00044
8779571,"YUTING YANG/","2022-06-19 06:39:15",0.00044
7715846,"JunFu He","2022-06-24 14:37:05",0.00044
8805798,Saisho,"2022-06-22 19:18:29",0.00044
8727259,200511535zhangbowen,"2022-06-23 09:05:01",0.00044
8809168,"Atitar Aliwa Kahfi","2022-06-24 08:42:59",0.00044
8628117,"Yiting Hu","2022-06-23 20:36:29",0.00044
8815773,Chlice,"2022-06-24 23:24:45",0.00044
8804353,chal1ce,"2022-06-29 05:36:59",0.00044
8819832,breeze0221,"2022-06-27 07:14:32",0.00044
8824266,RanPeng,"2022-06-27 13:36:13",0.00044
6331823,IvanSatura,"2022-06-28 07:45:00",0.00044
8831763,"Dragon D","2022-06-29 05:03:23",0.00044
8831126,"Geol Ahn","2022-06-30 06:33:38",0.00044
8605077,"Francisco Feng","2022-05-10 18:32:40",0.00408
8639377,NTUST_產學快發錢,"2022-06-08 09:42:16",0.01217
6107427,"Venkata Nageswararao Padavala","2022-06-26 14:54:41",0.04027
7659473,"İzzet Türkalp Akbaşlı","2022-06-27 00:12:20",0.04027
2087057,KCLee,"2022-06-17 16:24:48",0.04028
8779853,200511326mingjili,"2022-06-18 00:37:44",0.04028
8734247,"Yuka Shara","2022-06-29 07:31:01",0.04028
8765023,Lum7na,"2022-06-18 06:30:47",0.05182
7220860,"Jenna Bowman","2022-06-28 01:31:21",0.05263
8531897,exeb1t,"2022-05-07 20:40:08",0.05430
8341145,Alexfordna,"2022-05-29 08:11:31",0.05692
7818575,maryber,"2022-06-14 14:46:19",0.05866
8770438,glkgxxysy,"2022-06-16 06:51:48",0.05903
7409706,"Mohamed-El haddad","2022-06-03 13:41:34",0.05933
8738473,"Wenqing Lan","2022-06-08 05:05:03",0.06347
8720879,"Mohammad Kaif Ahmed","2022-06-03 16:04:46",0.06669
8737547,kkqazd,"2022-06-18 10:53:32",0.06669
8584996,"[Deleted] a9b119c9-9a7f-4e69-8342-badc8e6cf475","2022-05-06 09:52:11",0.06847
8722013,"Jadon Gao","2022-06-04 04:00:22",0.07158
6283177,"Sagar Sinha","2022-06-14 14:04:48",0.09067
8787835,"Antonio da Luz","2022-06-21 00:27:56",0.09075
8650241,emmie,"2022-06-09 04:55:11",0.09526
8694929,russellthor30,"2022-05-29 12:43:01",0.09526
8585741,sxuzwj,"2022-05-14 10:04:19",0.09981
7593320,"Chingiz Nurzhanov","2022-06-19 00:26:14",0.10726
8810815,"Yiting Hu1 ","2022-06-24 14:42:44",0.11281
7691968,"Luke Ginn","2022-06-30 07:52:16",0.11344
8191570,"Roman Kholodkov","2022-06-11 21:23:18",0.11381
8654041,kuanchenglin,"2022-06-13 13:38:02",0.11434
8527192,dlts88,"2022-06-03 08:57:05",0.11434
8560352,M.R.0024,"2022-06-01 08:32:59",0.11456
8759381,"yuqing tian","2022-06-12 06:57:16",0.11456
8731027,"Amit #21","2022-06-27 12:48:31",0.11456
8770174,ashto2ash,"2022-06-14 11:55:32",0.11456
8714439,rsa621,"2022-06-08 00:32:41",0.11456
8588434,NTUST_缺人中,"2022-06-09 16:31:11",0.11507
8016682,"Muntasir Hossain","2022-05-09 05:48:43",0.11520
8501680,"Marc Herrmann","2022-06-15 11:39:40",0.11539
8313635,"Luke Ginn 12","2022-06-30 07:53:48",0.11557
8419592,"Javier Rabal","2022-06-01 14:24:04",0.11574
8488870,"Adrian #13","2022-05-25 18:52:00",0.11578
8558727,"Andrew #27","2022-05-10 03:11:10",0.11584
7616395,crocrocro,"2022-05-31 10:37:39",0.11623
8542978,"Vasyl Ratushniuk","2022-05-10 12:46:53",0.11625
8699222,oma2,"2022-05-30 13:44:37",0.11625
8657047,"hiệp trịnh hoàng","2022-05-21 07:04:50",0.11630
8593598,"Matilde C. Campo","2022-06-23 14:36:21",0.11635
8658678,chengzhe0227,"2022-06-10 17:32:52",0.11666
8737196,NTUST_老師給我A+,"2022-06-10 02:55:17",0.11669
7820142,"Lovro Selic","2022-05-04 11:40:06",0.11675
8673824,"Xinglong Deng","2022-06-17 14:24:26",0.11702
8602786,对对对队,"2022-06-09 02:44:05",0.11704
